plot_id,strata,group,geometry,xproj,yproj
ATWE-FUELS-001P,NW_E-under5-Low-many,Atwell,"c(348304.420854298, 4036036.56802574)",348304.4208542976,4036036.5680257366
ATWE-FUELS-002P,SE_W-under5-Low-many,Atwell,"c(349336.640418211, 4037003.12031605)",349336.64041821053,4037003.1203160486
ATWE-FUELS-003P,SE_W-under5-Low-many,Atwell,"c(347516.245032082, 4036460.80508918)",347516.2450320819,4036460.8050891818
ATWE-FUELS-004P,SE_W-under5-Low-many,Atwell,"c(347728.956278044, 4036853.69735987)",347728.9562780437,4036853.6973598734
ATWE-FUELS-005P,SE_W-under5-Moderate-many,Atwell,"c(349524.281410898, 4036597.6920223)",349524.28141089785,4036597.6920223027
ATWE-FUELS-006P,SE_W-under5-Moderate-many,Atwell,"c(350112.273986984, 4036179.72491292)",350112.2739869835,4036179.724912917
BISP-FUELS-007P,NW_E-under5-Moderate-one,Redwood Mountain,"c(329550.870102448, 4057801.02951389)",329550.87010244816,4057801.02951389
CEFL-FUELS-008P,SE_W-under5-Low-one,South Fork,"c(344550.77944179, 4024966.31356531)",344550.7794417898,4024966.3135653078
CEFL-FUELS-009P,SE_W-under5-Unburned-none,South Fork,"c(344563.293033344, 4025365.49150357)",344563.2930333445,4025365.4915035716
DILL-FUELS-010P,NW_E-under5-Low-one,Dennison,"c(347759.791221457, 4018672.65960973)",347759.7912214574,4018672.659609728
DILL-FUELS-011P,NW_E-under5-Low-one,Dennison,"c(347353.199791384, 4018485.5805524)",347353.19979138445,4018485.580552396
DILL-FUELS-012P,NW_E-under5-Moderate-one,Dennison,"c(346546.269322335, 4018311.01065471)",346546.2693223348,4018311.0106547093
DILL-FUELS-013P,NW_E-under5-Unburned-none,Dennison,"c(346364.858015584, 4018916.03919364)",346364.85801558394,4018916.0391936386
DILL-FUELS-014P,SE_W-under5-Low-one,Dennison,"c(347997.484822559, 4019863.9411663)",347997.48482255865,4019863.9411663013
DILL-FUELS-015P,SE_W-under5-Low-one,Dennison,"c(346183.447321533, 4019521.06751228)",346183.4473215325,4019521.0675122817
DILL-FUELS-016P,SE_W-under5-Low-one,Dennison,"c(347603.400271158, 4020076.04394497)",347603.4002711576,4020076.043944975
DILL-FUELS-017P,SE_W-under5-Low-one,Dennison,"c(345945.759699038, 4018329.77537181)",345945.75969903823,4018329.775371811
DILL-FUELS-018P,SE_W-under5-Low-one,Dennison,"c(347153.030595191, 4018491.83597555)",347153.0305951914,4018491.835975554
DILL-FUELS-019P,SE_W-under5-Low-one,Dennison,"c(345977.023481367, 4019327.73224298)",345977.0234813669,4019327.7322429763
DILL-FUELS-020P,SE_W-under5-Low-one,Dennison,"c(346990.382130695, 4019695.63393036)",346990.38213069516,4019695.633930362
DILL-FUELS-021P,SE_W-under5-Low-one,Dennison,"c(345814.373763457, 4020531.5330455)",345814.37376345653,4020531.5330454973
DILL-FUELS-022P,SE_W-under5-Low-one,Dennison,"c(347384.467813791, 4019483.53149869)",347384.46781379066,4019483.5314986873
DILL-FUELS-023P,SE_W-under5-Low-one,Dennison,"c(346214.71615874, 4020519.02008575)",346214.71615874046,4020519.0200857534
DILL-FUELS-024P,SE_W-under5-Moderate-one,Dennison,"c(346408.632952939, 4020313.17337179)",346408.6329529392,4020313.1733717853
DILL-FUELS-025P,SE_W-under5-Moderate-one,Dennison,"c(345614.202331238, 4020537.78941908)",345614.20233123796,4020537.789419084
DILL-FUELS-026P,SE_W-under5-Moderate-one,Dennison,"c(345607.94855415, 4020338.19867921)",345607.9485541502,4020338.1986792074
DILL-FUELS-027P,SE_W-under5-Moderate-one,Dennison,"c(348185.145039995, 4019458.50605038)",348185.1450399945,4019458.5060503758
DILL-FUELS-028P,SE_W-under5-Unburned-none,Dennison,"c(345970.770420677, 4019128.14110522)",345970.7704206769,4019128.1411052197
DILL-FUELS-029P,SE_W-under5-Unburned-none,Dennison,"c(346590.041769416, 4019708.14623938)",346590.04176941555,4019708.146239378
DILL-FUELS-030P,SE_W-under5-Unburned-none,Dennison,"c(346984.128271654, 4019496.04379095)",346984.12827165367,4019496.0437909462
DILL-FUELS-031P,SE_W-under5-Unburned-none,Dennison,"c(347403.230436485, 4020082.30065371)",347403.23043648514,4020082.300653709
DILL-FUELS-032P,SE_W-under5-Unburned-none,Dennison,"c(346615.057929778, 4020506.50684248)",346615.05792977836,4020506.506842483
DILL-FUELS-033P,SE_W-under5-Unburned-none,Dennison,"c(347966.213805717, 4018865.99366944)",347966.213805717,4018865.99366944
DILL-FUELS-034P,SE_W-under5-Unburned-none,Dennison,"c(346602.549546604, 4020107.32677508)",346602.54954660375,4020107.3267750773
DILL-FUELS-035P,SE_W-under5-Unburned-none,Dennison,"c(346583.788108085, 4019508.55579544)",346583.7881080852,4019508.55579544
