plot_id,strata,group,geometry,xproj,yproj
ATWE-FUELS-001P,NW_E-under5-Low-many,Atwell,"c(348304.420854298, 4036036.56802574)",348304.4208542976,4036036.5680257366
ATWE-FUELS-002P,SE_W-under5-Low-many,Atwell,"c(348711.041169556, 4036223.61027989)",348711.0411695557,4036223.6102798884
ATWE-FUELS-003P,SE_W-under5-Low-many,Atwell,"c(348504.597651255, 4036030.29911424)",348504.59765125543,4036030.2991142385
ATWE-FUELS-004P,SE_W-under5-Low-many,Atwell,"c(347728.956278044, 4036853.69735987)",347728.9562780437,4036853.6973598734
ATWE-FUELS-005P,SE_W-under5-Moderate-many,Atwell,"c(348898.683977266, 4035818.18104051)",348898.6839772663,4035818.1810405096
ATWE-FUELS-006P,SE_W-under5-Moderate-many,Atwell,"c(349524.281410898, 4036597.6920223)",349524.28141089785,4036597.6920223027
BISP-FUELS-007P,NW_E-under5-Moderate-one,Redwood Mountain,"c(329550.870102448, 4057801.02951389)",329550.87010244816,4057801.02951389
CEFL-FUELS-008P,SE_W-under5-Low-one,South Fork,"c(344569.550059175, 4025565.08030421)",344569.5500591746,4025565.0803042077
CEFL-FUELS-009P,SE_W-under5-Unburned-none,South Fork,"c(344563.293033344, 4025365.49150357)",344563.2930333445,4025365.4915035716
DILL-FUELS-010P,NW_E-under5-Low-one,Dennison,"c(347759.791221457, 4018672.65960973)",347759.7912214574,4018672.659609728
DILL-FUELS-011P,NW_E-under5-Low-one,Dennison,"c(347353.199791384, 4018485.5805524)",347353.19979138445,4018485.580552396
DILL-FUELS-012P,NW_E-under5-Moderate-one,Dennison,"c(346546.269322335, 4018311.01065471)",346546.2693223348,4018311.0106547093
DILL-FUELS-013P,NW_E-under5-Unburned-none,Dennison,"c(346364.858015584, 4018916.03919364)",346364.85801558394,4018916.0391936386
DILL-FUELS-014P,SE_W-under5-Low-one,Dennison,"c(346371.111122924, 4019115.63014366)",346371.1111229245,4019115.630143661
DILL-FUELS-015P,SE_W-under5-Low-one,Dennison,"c(345551.671420807, 4018541.87673558)",345551.67142080667,4018541.876735577
DILL-FUELS-016P,SE_W-under5-Low-one,Dennison,"c(345945.759699038, 4018329.77537181)",345945.75969903823,4018329.775371811
DILL-FUELS-017P,SE_W-under5-Low-one,Dennison,"c(345801.866165486, 4020132.35175547)",345801.86616548564,4020132.3517554672
DILL-FUELS-018P,SE_W-under5-Low-one,Dennison,"c(346214.71615874, 4020519.02008575)",346214.71615874046,4020519.0200857534
DILL-FUELS-019P,SE_W-under5-Low-one,Dennison,"c(347196.806187086, 4019888.96753828)",347196.8061870864,4019888.96753828
