grove,grove_ha,Access,dist from road,dist from trail,approx_time,Ease of Access,Notes on Access,Notes on Camping,Nate,David,Tony,Nick
Dillonwood,603.3,xcountry,5,0.5,4,Difficult,,,,Access via Garfield grove then hitting unmaintained trail over ridge. We have waypoints.,Are you accessing upper or lower Dillonwood? If lower Dillonwood you'd to drive/hike in from N. Fork Tule R. on the old logging road. For upper Dillonwood I would access via Garfield (there are twol old trails (I have GPS tracks),
Eden Creek,330.6,xcountry,5,2,10,Difficult,long hike: Hockett>Evelyn Lake>Cahoon Meadow,,Likely an overnight trip.,"Easier to get to than Cahoon or Horse Creek. Generally nice to walk to and walk within, given that it has some recent burn history and isn't too steep (in much of it)","Not too difficult just a long hike. Best to come in via Hockett, then to Evelyn L., cross-country to Cahoon Meadow. There is an old trail through the grove that I have used",
Forgotten,6,xcountry,,1,4,Difficult,,,,,Near old trail to Devils Canyon,
Little Redwood Meadow,26.2,xcountry,11,0.5,6.4,Difficult,,,,,,
Pine Ridge,64,xcountry,2,1,4.8,Difficult,approach from Muir,,,See common for Skagway. Crews seems to have an easy time getting to Pine Ridge.,"I've accessed from Skagway, somewhat difficult but maybe easier now after the KNP?",
Skagway,59.8,xcountry,2,1,4.8,Difficult,approach from Muir,,I found this easier to get to than Pine Ridge ....,Seemed to be significantly more difficult to get to relative to the adjacent Pine Ridge,There is an old trail that can be easily followed from Muir once you find it. Much easier for us than Pine Ridge,
Suwanee,61.2,xcountry,2,1,4.8,Difficult,"from road, shuttle makes easier",,"I'd call it easy or moderate, from a turnout on the Generals Highway.",I'd reclassify as moderate. We have a helpful map that shows you should go around a topo feature instead of heading direct down the drainage,"Moderate, just follow ridge down from Generals Hwy.",
Atwell,645.4,road,,,0,Easy,,,,,,
Big Stump,92,road,,,0,Easy,,,,,,
Cedar Flat,32,trail,2.5,,1,Easy,,,,,Easy,
Clough Cave,4.6,road,,,0,Easy,,,,,,
General Grant,100.6,road,,,0,Easy,,,,,,
Giant Forest,1190.2,road,,,0,Easy,,,,,,
Lost,30.9,road,,,0,Easy,,,,,,
Muir,160.5,trail,2,,0.8,Easy,,,Agree with David: Easy access by good trail.,I would reclassify Easy access,I would say easy access,
Redwood Mountain,1272.1,road,,,0,Easy,,,,,,
Sequoia Creek,24.7,road,,,0,Easy,,,,,,
Big Springs,12.1,trail,5,,2,Moderate,long hike,,Long hike.,,,
East Fork,466.6,road,,,0,Moderate,private land access via Kaweah Han at E side of grove,,,Can be difficult travel within some parts of the grove that are dense with small trees/ water courses/slow walking travel,East portion of grove easiest to access via Kaweah Han (private so need permission) but there is a trail into this portion of the grove.,
Garfield,747.7,trail,5,,2,Moderate,slow trail,"Water can be a issue if a dry year, there are also only 2-3 locations that are good for camping that are near water. Lower portions of grove can be accessed via Lady Bug Trail if S. Fork R is low",,"if we a get large snow year and you go early season, there may be snow bridges to cross along the trail.","Water can be a issue if a dry year, there are also only 2-3 locations that are good for camping that are near water. Lower portions of grove can be accessed via Lady Bug Trail if S. Fork R is low",
Granite Creek,4.8,trail,12,,4.8,Moderate,,,,,,
