grov_nm,aspect,time_since,burnsev,count,area_ha,prop_area,count_plot,prop_plot,diff
Dillonwood,NW to E,five_or_less,Unburned,one or none,10.91,0,0,0,0
Dillonwood,NW to E,five_or_less,Low,one,19.17,0,0,0,0
Dillonwood,NW to E,five_or_less,Moderate,one,6.84,0,0,0,0
Dillonwood,NW to E,five_or_less,High,one,8.91,0,0,0,0
Dillonwood,NW to E,five_or_less,Low,multiple,0,0,0,0,0
Dillonwood,NW to E,five_or_less,Moderate,multiple,0,0,0,0,0
Garfield,NW to E,five_or_less,Unburned,one or none,80.57,0.01,1,0,0.01
Garfield,NW to E,five_or_less,Low,one,141.35,0.02,0,0,0.02
Garfield,NW to E,five_or_less,Moderate,one,14.47,0,0,0,0
Garfield,NW to E,five_or_less,High,one,1.88,0,0,0,0
Garfield,NW to E,five_or_less,Low,multiple,70.62,0.01,1,0,0.01
Garfield,NW to E,five_or_less,Unburned,multiple,42.48,0.01,1,0,0.01
Garfield,NW to E,five_or_less,Moderate,multiple,3.44,0,0,0,0
Garfield,NW to E,five_or_less,High,multiple,0.45,0,0,0,0
Garfield,NW to E,more_than_five,Low,one,1.3,0,0,0,0
Garfield,NW to E,more_than_five,Unburned,one or none,0.82,0,0,0,0
Garfield,NW to E,more_than_five,Low,multiple,0,0,0,0,0
South Fork,NW to E,five_or_less,Unburned,one or none,9.94,0,0,0,0
South Fork,NW to E,five_or_less,Low,one,118.36,0.02,2,0.01,0.01
South Fork,NW to E,five_or_less,Moderate,one,17.68,0,1,0,0
South Fork,NW to E,five_or_less,High,one,2.13,0,0,0,0
South Fork,NW to E,five_or_less,Low,multiple,0,0,0,0,0
South Fork,NW to E,five_or_less,Unburned,multiple,0,0,0,0,0
South Fork,NW to E,five_or_less,Moderate,multiple,0,0,0,0,0
Cedar Flat,NW to E,five_or_less,Unburned,one or none,1.66,0,0,0,0
Cedar Flat,NW to E,five_or_less,Low,one,4.94,0,0,0,0
Cedar Flat,NW to E,five_or_less,Moderate,one,0.6,0,0,0,0
Cedar Flat,NW to E,five_or_less,High,one,0.07,0,0,0,0
Cedar Flat,NW to E,five_or_less,Low,multiple,0,0,0,0,0
Board Camp,NW to E,five_or_less,Low,one,0,0,0,0,0
Board Camp,NW to E,five_or_less,Moderate,one,0.19,0,0,0,0
Board Camp,NW to E,five_or_less,High,one,0.8,0,0,0,0
Board Camp,NW to E,five_or_less,Moderate,multiple,0,0,0,0,0
Homers Nose,NW to E,five_or_less,Low,one,0.21,0,0,0,0
Homers Nose,NW to E,five_or_less,Moderate,one,0.48,0,0,0,0
Homers Nose,NW to E,five_or_less,High,one,0.62,0,0,0,0
Eden Creek,NW to E,five_or_less,Unburned,one or none,9.15,0,0,0,0
Eden Creek,NW to E,five_or_less,Low,one,30.4,0,1,0,0
Eden Creek,NW to E,five_or_less,Moderate,one,5.95,0,0,0,0
Eden Creek,NW to E,five_or_less,High,one,0.18,0,0,0,0
Eden Creek,NW to E,five_or_less,Low,multiple,87.72,0.01,2,0.01,0
Eden Creek,NW to E,five_or_less,Unburned,multiple,87.71,0.01,2,0.01,0
Eden Creek,NW to E,five_or_less,Moderate,multiple,17.25,0,0,0,0
Eden Creek,NW to E,five_or_less,High,multiple,0.21,0,0,0,0
Eden Creek,NW to E,more_than_five,Unburned,one or none,0,0,0,0,0
Cahoon,NW to E,more_than_five,Unburned,one or none,9.2,0,0,0,0
Horse Creek,NW to E,more_than_five,Unburned,one or none,50.61,0.01,1,0,0.01
East Fork,NW to E,five_or_less,Unburned,one or none,0.09,0,0,0,0
East Fork,NW to E,five_or_less,Low,one,0.01,0,0,0,0
East Fork,NW to E,five_or_less,Low,multiple,0.75,0,0,0,0
East Fork,NW to E,five_or_less,Unburned,multiple,0.32,0,0,0,0
East Fork,NW to E,five_or_less,Moderate,multiple,0.34,0,0,0,0
East Fork,NW to E,five_or_less,High,multiple,0.03,0,0,0,0
East Fork,NW to E,more_than_five,Low,one,66.41,0.01,3,0.01,0
East Fork,NW to E,more_than_five,Unburned,one or none,134.02,0.02,6,0.02,0
East Fork,NW to E,more_than_five,Moderate,one,0.76,0,0,0,0
East Fork,NW to E,more_than_five,Low,multiple,77.21,0.01,8,0.03,-0.02
