grove,grove_ha,plot_ct,area_rep_ha,E,SE,S,SW,W,NE,NW,N,Flat,Undulating,Moderately Sloping,Hilly,Moderately Steep,Steep,Very Steep,No_slope,fires_1,fires_2,fires_3,Undetected change,Low,Moderate,High,fires_0
Atwell,645.4,47,13.7,0.09,0.28,0.4,0.15,0.03,0.03,0.01,0,0,0,0.02,0.17,0.52,0.28,0.02,0,0.4,0,0,0.13,0.19,0.06,0.03,0.6
Big Springs,12.1,0,0,0.36,0.04,0.04,0.25,0.05,0.26,0,0,0.02,0.03,0.06,0.22,0.2,0.34,0.13,0,1,0,0,0.1,0.6,0.27,0.03,0
Big Stump,92,22,4.2,0.06,0.14,0.21,0.25,0.15,0.01,0.14,0.03,0.01,0.09,0.26,0.42,0.18,0.04,0,0,0,0,0,0,0,0,0,1
Board Camp,47.1,2,23.6,0,0.18,0.19,0.17,0.37,0,0.09,0,0,0,0,0.07,0.29,0.46,0.17,0,1,0,0,0,0.08,0.14,0.78,0
Cahoon,24.2,0,0,0.35,0.02,0.01,0.01,0.15,0.07,0.36,0.03,0,0,0,0.04,0.17,0.49,0.29,0.01,0,0,0,0,0,0,0,1
Castle Creek,211.2,2,105.6,0.07,0.01,0.04,0.04,0.08,0.41,0.12,0.23,0,0,0.02,0.31,0.41,0.21,0.05,0,0.17,0.33,0.49,0.52,1.18,0.44,0.19,0.010000000000000009
Cedar Flat,32,1,32,0.1,0.18,0.16,0.12,0.22,0,0.19,0.03,0,0,0,0.04,0.14,0.32,0.43,0.07,1,0,0,0.24,0.58,0.13,0.05,0
Clough Cave,4.6,0,0,0.05,0.01,0.07,0.16,0.06,0.44,0.16,0.06,0,0.01,0.15,0.36,0.23,0.14,0.11,0.01,0.69,0.01,0,0.3,0.27,0.09,0.06,0.30000000000000004
Coffeepot Canyon,10.2,0,0,0,0,0,0.15,0.48,0,0.35,0.01,0,0,0,0.2,0.38,0.37,0.05,0,0.62,0.38,0,0.41,0.67,0.29,0.01,0
Dennison,12.7,0,0,0,0,0.11,0.07,0.11,0,0.68,0.02,0,0,0,0.1,0.29,0.44,0.17,0,1,0,0,0.1,0.88,0.02,0,0
Devil's Canyon,17.7,0,0,0.04,0.04,0.02,0.02,0.03,0.1,0.19,0.56,0,0.01,0.02,0.08,0.14,0.41,0.34,0.01,1,0,0,0.09,0.87,0.03,0.01,0
Dillonwood,603.3,0,0,0.04,0.12,0.29,0.25,0.19,0.01,0.09,0,0,0.01,0.05,0.3,0.36,0.24,0.04,0,1,0,0,0.34,0.43,0.12,0.1,0
Douglass,4.5,0,0,0,0,0,0.16,0.2,0,0.61,0.03,0,0,0,0,0,0.17,0.83,0.01,1,0,0,0.19,0.74,0.07,0,0
East Fork,466.6,25,18.7,0.02,0.01,0.06,0.05,0.17,0.06,0.37,0.26,0,0,0.01,0.15,0.43,0.35,0.06,0,0.57,0,0,0.38,0.17,0.02,0,0.43000000000000005
Eden Creek,330.6,5,66.1,0.06,0.02,0.01,0.04,0.12,0.17,0.32,0.26,0,0,0.01,0.15,0.32,0.37,0.15,0.01,0.18,0.81,0,0.84,0.85,0.13,0,0.010000000000000009
Forgotten,6,0,0,0.01,0.01,0.01,0.01,0.16,0.06,0.42,0.33,0,0,0.02,0.17,0.13,0.34,0.33,0.01,1,0,0,0.03,0.45,0.43,0.09,0
Garfield,747.7,5,149.5,0.03,0.03,0.07,0.08,0.24,0.16,0.22,0.17,0,0,0.01,0.16,0.42,0.32,0.08,0.01,0.77,0.23,0,0.45,0.62,0.09,0.06,0
