grove_name,SEKI fire effects monitoring plots,UCB fuels project monitoring,USGS FF,USGS SRP,SEKI BS Fx,SEKI soundscape
Atwell,3,41,1,2,NA,NA
Big Stump,NA,12,NA,NA,4,6
Board Camp,NA,NA,NA,2,NA,NA
Castle Creek,NA,NA,NA,2,NA,NA
Cedar Flat,NA,NA,NA,1,NA,NA
East Fork,3,20,NA,2,NA,NA
Eden Creek,NA,NA,NA,5,NA,NA
Garfield,4,NA,1,NA,NA,NA
General Grant,2,11,NA,1,NA,21
Giant Forest,17,NA,9,8,NA,NA
Homers Nose,NA,NA,NA,2,NA,NA
Horse Creek,NA,NA,NA,1,NA,NA
Lost,NA,11,NA,1,NA,NA
Muir,2,NA,NA,3,NA,NA
New Oriole Lake,NA,NA,NA,1,NA,NA
Oriole Lake,NA,NA,NA,3,NA,NA
Pine Ridge,NA,NA,NA,1,NA,NA
Redwood Creek,1,NA,NA,NA,NA,NA
Redwood Meadow,NA,14,4,4,NA,NA
Redwood Mountain,6,36,8,2,NA,NA
Sequoia Creek,NA,9,NA,NA,NA,NA
Skagway,NA,NA,NA,2,NA,NA
South Fork,NA,NA,NA,3,NA,NA
Suwanee,3,NA,NA,2,NA,NA
Total,41,154,23,48,4,27
