"","strt_grv","point_id","to_est"
"1","Atwell-NW_E-under5-Low-many","1",1
"2","Atwell-SE_W-under5-Low-many","21",3
"3","Atwell-SE_W-under5-Low-many","8",3
"4","Atwell-SE_W-under5-Low-many","18",3
"5","Atwell-SE_W-under5-Moderate-many","6",2
"6","Atwell-SE_W-under5-Moderate-many","4",2
"7","Big Springs-NW_E-under5-Moderate-one","1",1
"8","Cedar Flat-SE_W-under5-Low-one","1",1
"9","Cedar Flat-SE_W-under5-Unburned-none","19",2
"10","Dillonwood-NW_E-under5-Low-one","3",4
"11","Dillonwood-NW_E-under5-Low-one","2",4
"12","Dillonwood-NW_E-under5-Moderate-one","2",1
"13","Dillonwood-NW_E-under5-Unburned-none","4",1
"14","Dillonwood-SE_W-under5-Low-one","53",10
"15","Dillonwood-SE_W-under5-Low-one","18",10
"16","Dillonwood-SE_W-under5-Low-one","39",10
"17","Dillonwood-SE_W-under5-Low-one","6",10
"18","Dillonwood-SE_W-under5-Low-one","47",10
"19","Dillonwood-SE_W-under5-Low-one","15",10
"20","Dillonwood-SE_W-under5-Low-one","30",10
"21","Dillonwood-SE_W-under5-Low-one","22",10
"22","Dillonwood-SE_W-under5-Low-one","27",10
"23","Dillonwood-SE_W-under5-Low-one","41",10
"24","Dillonwood-SE_W-under5-Moderate-one","11",4
"25","Dillonwood-SE_W-under5-Moderate-one","9",4
"26","Dillonwood-SE_W-under5-Moderate-one","8",4
"27","Dillonwood-SE_W-under5-Moderate-one","16",4
"28","Dillonwood-SE_W-under5-Unburned-none","30",8
"29","Dillonwood-SE_W-under5-Unburned-none","50",8
"30","Dillonwood-SE_W-under5-Unburned-none","46",8
"31","Dillonwood-SE_W-under5-Unburned-none","59",8
"32","Dillonwood-SE_W-under5-Unburned-none","64",8
"33","Dillonwood-SE_W-under5-Unburned-none","65",8
"34","Dillonwood-SE_W-under5-Unburned-none","60",8
"35","Dillonwood-SE_W-under5-Unburned-none","44",8
"36","East Fork-NW_E-over5-Low-one","3",1
"37","East Fork-SE_W-over5-Low-one","5",1
"38","East Fork-SE_W-under5-Low-many","23",1
"39","Eden Creek-NW_E-under5-Low-many","15",1
"40","Eden Creek-NW_E-under5-Moderate-many","1",1
"41","Eden Creek-NW_E-under5-Unburned-none","15",3
"42","Eden Creek-NW_E-under5-Unburned-none","19",3
"43","Eden Creek-NW_E-under5-Unburned-none","8",3
"44","Eden Creek-SE_W-under5-Low-many","27",2
"45","Eden Creek-SE_W-under5-Low-many","25",2
"46","Garfield-NW_E-under5-Low-many","31",2
"47","Garfield-NW_E-under5-Low-many","36",2
"48","Garfield-NW_E-under5-Low-one","42",7
"49","Garfield-NW_E-under5-Low-one","15",7
"50","Garfield-NW_E-under5-Low-one","45",7
"51","Garfield-NW_E-under5-Low-one","14",7
"52","Garfield-NW_E-under5-Low-one","31",7
"53","Garfield-NW_E-under5-Low-one","35",7
"54","Garfield-NW_E-under5-Low-one","43",7
"55","Garfield-NW_E-under5-Unburned-none","38",7
"56","Garfield-NW_E-under5-Unburned-none","31",7
"57","Garfield-NW_E-under5-Unburned-none","25",7
"58","Garfield-NW_E-under5-Unburned-none","30",7
"59","Garfield-NW_E-under5-Unburned-none","41",7
"60","Garfield-NW_E-under5-Unburned-none","36",7
"61","Garfield-NW_E-under5-Unburned-none","45",7
"62","Garfield-SE_W-under5-Low-many","33",5
"63","Garfield-SE_W-under5-Low-many","30",5
"64","Garfield-SE_W-under5-Low-many","40",5
"65","Garfield-SE_W-under5-Low-many","36",5
"66","Garfield-SE_W-under5-Low-many","38",5
"67","Garfield-SE_W-under5-Low-one","74",9
"68","Garfield-SE_W-under5-Low-one","65",9
"69","Garfield-SE_W-under5-Low-one","67",9
"70","Garfield-SE_W-under5-Low-one","68",9
"71","Garfield-SE_W-under5-Low-one","76",9
"72","Garfield-SE_W-under5-Low-one","78",9
"73","Garfield-SE_W-under5-Low-one","79",9
