rowid,groves,grove_list,aspect,time_since,burnsev,count,area_ha,area_ac,prop_area,count_plot,useful_existing_plots,prop_plot,diff_plot_prop,total_plots_needed,tota_plots_needed_round,count_plots_needed
1,1,Redwood Mountain,NW to E,five_or_less,High,multiple,79.99,197.5753,0.011,4,4,0.01,-0.001,5.2,5,1
2,8,"c(""Redwood Mountain"", ""Dillonwood"", ""Garfield"", ""South Fork"", ""New Oriole Lake"", ""Giant Forest"", ""Oriole Lake"", ""Redwood Mountain"")",NW to E,five_or_less,High,one,68.72,169.7384,0.01,3,3,0.01,0,4.4,4,1
3,4,"c(""Garfield"", ""Eden Creek"", ""Giant Forest"", ""Redwood Mountain"")",NW to E,five_or_less,Low,multiple,405.05,1000.4735,0.057,17,17,0.06,0.003,26.1,26,9
4,6,"c(""Garfield"", ""South Fork"", ""Eden Creek"", ""Giant Forest"", ""Pine Ridge"", ""Muir"")",NW to E,five_or_less,Low,one,507.61,1253.7967,0.071,8,8,0.03,-0.041,32.7,33,25
5,1,Redwood Mountain,NW to E,five_or_less,Moderate,multiple,141.82,350.2954,0.02,4,4,0.01,-0.01,9.1,9,5
8,4,"c(""Garfield"", ""Eden Creek"", ""Giant Forest"", ""Redwood Mountain"")",NW to E,five_or_less,Unburned,multiple,239.82,592.3554,0.034,5,5,0.02,-0.014,15.4,15,10
7,2,"c(""Garfield"", ""Giant Forest"")",NW to E,five_or_less,Unburned,one or none,166.22,410.5634,0.023,2,2,0.01,NA,10.7,11,9
12,2,"c(""East Fork"", ""Redwood Meadow"")",NW to E,more_than_five,Low,one,123.01,303.8347,0.017,6,6,0.02,0.003,7.9,8,2
15,2,"c(""East Fork"", ""Giant Forest"")",NW to E,more_than_five,Unburned,one or none,254.68,629.0596,0.036,14,14,0.05,0.014,16.4,16,2
18,3,"c(""Dillonwood"", ""Garfield"", ""Redwood Mountain"")",SE to W,five_or_less,High,one,379.24,936.7228,0.053,22,22,0.07,0.017,24.4,24,2
19,6,"c(""Garfield"", ""Eden Creek"", ""Giant Forest"", ""Redwood Creek"", ""Atwell"", ""Redwood Mountain"")",SE to W,five_or_less,Low,multiple,804.1,1986.127,0.113,22,22,0.07,-0.043,51.8,52,30
20,7,"c(""Dillonwood"", ""Garfield"", ""South Fork"", ""Giant Forest"", ""Oriole Lake"", ""Muir"", ""Redwood Mountain"")",SE to W,five_or_less,Low,one,749.19,1850.4993,0.105,12,12,0.04,-0.065,48.3,48,36
21,2,"c(""Atwell"", ""Redwood Mountain"")",SE to W,five_or_less,Moderate,multiple,233.14,575.8558,0.033,5,5,0.02,-0.013,15,15,10
22,2,"c(""Dillonwood"", ""Garfield"")",SE to W,five_or_less,Moderate,one,247.17,610.5099,0.035,1,1,0,-0.035,15.9,16,15
24,5,"c(""Garfield"", ""Eden Creek"", ""Giant Forest"", ""Atwell"", ""Redwood Mountain"")",SE to W,five_or_less,Unburned,multiple,453.69,1120.6143,0.064,10,10,0.03,-0.034,29.2,29,19
23,3,"c(""Dillonwood"", ""Garfield"", ""Giant Forest"")",SE to W,five_or_less,Unburned,one or none,386.28,954.1116,0.054,9,9,0.03,-0.024,24.9,25,16
27,4,"c(""East Fork"", ""Giant Forest"", ""Atwell"", ""General Grant"")",SE to W,more_than_five,Low,multiple,567.53,1401.7991,0.08,51,36,0.17,0.09,36.6,37,1
31,5,"c(""East Fork"", ""Giant Forest"", ""Little Redwood Meadow"", ""Redwood Meadow"", ""Big Stump"")",SE to W,more_than_five,Unburned,one or none,523.41,1292.8227,0.074,45,33,0.15,0.076,33.7,34,1
10,1,General Grant,NW to E,more_than_five,High,one,1.32,3.2604,0,0,0,0,0,0.1,1,1
13,1,General Grant,NW to E,more_than_five,Moderate,multiple,2.5,6.175,0,0,0,0,0,0.2,1,1
