"","strata_nm","grov_nm","plots_per_strata_by_grv"
"1","NW_E-under5-Low-many","Atwell",3
"2","NW_E-under5-Unburned-none","Atwell",0
"3","NW_E-under5-Moderate-many","Atwell",1
"4","NW_E-over5-Low-many","Atwell",1
"5","SE_W-under5-Low-many","Atwell",7
"6","SE_W-under5-Unburned-none","Atwell",6
"7","SE_W-under5-Moderate-many","Atwell",2
"8","SE_W-under5-High-many","Atwell",0
"9","SE_W-over5-Low-many","Atwell",27
"10","SE_W-over5-Unburned-none","Atwell",0
"11","NW_E-under5-Low-one","Big Springs",0
"12","NW_E-under5-Moderate-one","Big Springs",0
"13","SE_W-under5-Low-one","Big Springs",0
"14","NW_E-over5-Low-many","Big Stump",0
"15","NW_E-over5-Unburned-none","Big Stump",3
"16","SE_W-under5-Low-many","Big Stump",1
"17","SE_W-over5-Low-many","Big Stump",1
"18","SE_W-over5-Unburned-none","Big Stump",17
"19","SE_W-under5-Low-one","Board Camp",0
"20","SE_W-under5-Moderate-one","Board Camp",0
"21","SE_W-under5-High-one","Board Camp",2
"22","NW_E-over5-Unburned-none","Cahoon",0
"23","SE_W-over5-Unburned-none","Cahoon",0
"24","NW_E-under5-Low-one","Castle Creek",0
"25","NW_E-under5-Moderate-one","Castle Creek",0
"26","NW_E-under5-High-one","Castle Creek",0
"27","NW_E-under5-Low-many","Castle Creek",1
"28","NW_E-under5-Unburned-none","Castle Creek",0
"29","NW_E-under5-Moderate-many","Castle Creek",1
"30","NW_E-under5-High-many","Castle Creek",0
"31","SE_W-under5-Low-many","Castle Creek",0
"32","SE_W-under5-Moderate-many","Castle Creek",0
"33","SE_W-under5-High-many","Castle Creek",0
"34","NW_E-under5-Low-one","Cedar Flat",0
"35","SE_W-under5-Low-one","Cedar Flat",1
"36","SE_W-under5-Moderate-one","Cedar Flat",0
"37","SE_W-under5-Unburned-none","Cedar Flat",0
"38","SE_W-under5-Low-one","Coffeepot Canyon",0
"39","SE_W-under5-Moderate-one","Coffeepot Canyon",0
"40","SE_W-under5-Low-many","Coffeepot Canyon",0
"41","NW_E-under5-Low-one","Dennison",0
"42","SE_W-under5-Low-one","Dennison",0
"43","NW_E-under5-Low-one","Devil's Canyon",0
"44","NW_E-under5-Low-one","Dillonwood",0
"45","NW_E-under5-Moderate-one","Dillonwood",0
"46","NW_E-under5-High-one","Dillonwood",0
"47","NW_E-under5-Unburned-none","Dillonwood",0
"48","SE_W-under5-Unburned-none","Dillonwood",0
"49","SE_W-under5-Low-one","Dillonwood",0
"50","SE_W-under5-Moderate-one","Dillonwood",0
"51","SE_W-under5-High-one","Dillonwood",0
"52","SE_W-under5-Low-one","Douglass",0
"53","NW_E-over5-Low-one","East Fork",3
"54","NW_E-over5-Low-many","East Fork",4
"55","NW_E-over5-Unburned-none","East Fork",5
"56","SE_W-under5-Low-many","East Fork",0
"57","SE_W-under5-Unburned-none","East Fork",0
"58","SE_W-over5-Low-one","East Fork",4
"59","SE_W-over5-Moderate-one","East Fork",1
"60","SE_W-over5-Low-many","East Fork",3
"61","SE_W-over5-Unburned-none","East Fork",4
"62","NW_E-under5-Unburned-none","Eden Creek",2
"63","NW_E-under5-Low-one","Eden Creek",1
"64","NW_E-under5-Moderate-one","Eden Creek",0
"65","NW_E-under5-Low-many","Eden Creek",2
"66","NW_E-under5-Moderate-many","Eden Creek",0
"67","SE_W-under5-Unburned-none","Eden Creek",0
"68","SE_W-under5-Low-one","Eden Creek",0
"69","SE_W-under5-Low-many","Eden Creek",0
"70","SE_W-under5-Moderate-many","Eden Creek",0
"71","NW_E-under5-Low-one","Garfield",0
"72","NW_E-under5-Moderate-one","Garfield",0
"73","NW_E-under5-Low-many","Garfield",1
"74","NW_E-under5-Unburned-none","Garfield",2
"75","NW_E-under5-Moderate-many","Garfield",0
"76","SE_W-under5-Unburned-none","Garfield",0
"77","SE_W-under5-Low-one","Garfield",0
"78","SE_W-under5-Moderate-one","Garfield",0
"79","SE_W-under5-High-one","Garfield",0
"80","SE_W-under5-Low-many","Garfield",2
"81","SE_W-under5-Moderate-many","Garfield",0
"82","SE_W-under5-High-many","Garfield",0
"83","SE_W-over5-Low-many","Garfield",0
"84","SE_W-over5-Unburned-none","Garfield",0
"85","NW_E-over5-Moderate-one","General Grant",2
"86","NW_E-over5-Low-many","General Grant",6
"87","NW_E-over5-Unburned-none","General Grant",4
"88","NW_E-over5-Moderate-many","General Grant",2
"89","SE_W-under5-Low-many","General Grant",3
"90","SE_W-over5-Moderate-one","General Grant",4
"91","SE_W-over5-High-one","General Grant",0
"92","SE_W-over5-Low-many","General Grant",13
"93","SE_W-over5-Unburned-none","General Grant",0
"94","SE_W-over5-Moderate-many","General Grant",1
"95","NW_E-under5-Low-one","Giant Forest",2
"96","NW_E-under5-Moderate-one","Giant Forest",0
"97","NW_E-under5-High-one","Giant Forest",0
"98","NW_E-under5-Low-many","Giant Forest",1
"99","NW_E-under5-Unburned-none","Giant Forest",2
"100","NW_E-over5-Low-many","Giant Forest",5
"101","NW_E-over5-Unburned-none","Giant Forest",1
"102","SE_W-under5-Low-one","Giant Forest",2
"103","SE_W-under5-Moderate-one","Giant Forest",0
"104","SE_W-under5-High-one","Giant Forest",1
"105","SE_W-under5-Low-many","Giant Forest",4
"106","SE_W-under5-Unburned-none","Giant Forest",0
