"","strata_nm","existing_plots_by_strata"
"1","NW_E-over5-Low-many",21
"2","NW_E-over5-Low-one",3
"3","NW_E-over5-Moderate-many",2
"4","NW_E-over5-Moderate-one",2
"5","NW_E-over5-Unburned-none",14
"6","NW_E-under5-High-many",5
"7","NW_E-under5-High-one",3
"8","NW_E-under5-Low-many",17
"9","NW_E-under5-Low-one",10
"10","NW_E-under5-Moderate-many",4
"11","NW_E-under5-Moderate-one",1
"12","NW_E-under5-Unburned-none",8
"13","SE_W-over5-High-one",0
"14","SE_W-over5-Low-many",57
"15","SE_W-over5-Low-one",4
"16","SE_W-over5-Moderate-many",1
"17","SE_W-over5-Moderate-one",5
"18","SE_W-over5-Unburned-none",26
"19","SE_W-under5-High-many",16
"20","SE_W-under5-High-one",22
"21","SE_W-under5-Low-many",23
"22","SE_W-under5-Low-one",18
"23","SE_W-under5-Moderate-many",5
"24","SE_W-under5-Moderate-one",3
"25","SE_W-under5-Unburned-none",26
