,strata_nm,total.strata.area.ha,strata.prop.area.seki,area_ha,existing_plots_per_strata,total.plots.needed,useful.plots,NEW.plots.needed
1,NW_E-over5-Low-one,64.887,0.0091,59.96,3,5,3,2
2,NW_E-over5-Unburned-none,237.746,0.0334,227.29,13,15,13,2
3,NW_E-under5-High-many,79.93,0.0112,67.47,4,5,4,1
4,NW_E-under5-High-one,68.784,0.0097,56.91,3,5,3,2
5,NW_E-under5-Low-many,405.594,0.057,365.05,16,26,16,10
6,NW_E-under5-Low-one,518.714,0.0729,485.61,9,33,9,24
7,NW_E-under5-Moderate-many,141.493,0.0199,109.42,3,9,3,6
8,NW_E-under5-Moderate-one,96.238,0.0135,59.68,0,7,0,7
9,NW_E-under5-Unburned-none,413.833,0.0582,355.87,7,26,7,19
10,SE_W-over5-High-one,2.692,0.0004,1.57,0,1,0,1
11,SE_W-over5-Low-one,51.98,0.0073,46.11,3,4,3,1
12,SE_W-under5-High-one,379.494,0.0534,355.15,22,24,22,2
13,SE_W-under5-Low-many,817.607,0.115,768.89,22,52,22,30
14,SE_W-under5-Low-one,827.913,0.1164,776.66,17,52,17,35
15,SE_W-under5-Moderate-many,233.529,0.0328,173.77,4,15,4,11
16,SE_W-under5-Moderate-one,264.636,0.0372,187.06,2,17,2,15
17,SE_W-under5-Unburned-none,895.037,0.1259,809.11,25,57,25,32
