grov_nm,strata_nm,to_est
Redwood Mountain,SE_W-under5-High-one,0
Giant Forest,NW_E-under5-High-one,1
Redwood Mountain,NW_E-under5-High-one,1
Eden Creek,NW_E-under5-Low-many,1
Redwood Creek,NW_E-under5-Low-many,1
Suwanee,NW_E-under5-Low-many,1
Muir,NW_E-under5-Low-one,1
Granite Creek,NW_E-under5-Low-one,1
Suwanee,NW_E-under5-Moderate-many,1
Big Springs,NW_E-under5-Moderate-one,1
Eden Creek,NW_E-under5-Moderate-one,1
Giant Forest,NW_E-under5-Moderate-one,1
New Oriole Lake,NW_E-under5-Moderate-one,1
Muir,NW_E-under5-Unburned-none,1
Oriole Lake,NW_E-under5-Unburned-none,1
Redwood Mountain,NW_E-under5-Unburned-none,1
Atwell,SE_W-over5-Low-many,1
Big Stump,SE_W-over5-Low-many,1
Skagway,SE_W-under5-Low-many,1
Suwanee,SE_W-under5-Low-many,1
Cedar Flat,SE_W-under5-Low-one,1
Giant Forest,SE_W-under5-Low-one,1
Pine Ridge,SE_W-under5-Low-one,1
Redwood Meadow,SE_W-under5-Low-one,1
Skagway,SE_W-under5-Low-one,1
Giant Forest,SE_W-under5-Moderate-many,1
Redwood Creek,SE_W-under5-Moderate-many,1
Garfield,SE_W-under5-Moderate-many,1
Muir,SE_W-under5-Moderate-one,1
New Oriole Lake,SE_W-under5-Moderate-one,1
Oriole Lake,SE_W-under5-Moderate-one,1
Pine Ridge,SE_W-under5-Moderate-one,1
Redwood Meadow,SE_W-under5-Moderate-one,1
Squirrel Creek,SE_W-under5-Moderate-one,1
Eden Creek,SE_W-under5-Unburned-none,1
Redwood Meadow,SE_W-under5-Unburned-none,1
Skagway,SE_W-under5-Unburned-none,1
Giant Forest,NW_E-under5-Low-many,2
Muir,NW_E-under5-Low-many,2
Redwood Mountain,NW_E-under5-Low-many,2
Garfield,NW_E-under5-Low-many,2
Garfield,NW_E-under5-Moderate-many,2
East Fork,SE_W-over5-Low-many,2
Atwell,SE_W-under5-Low-many,2
General Grant,SE_W-under5-Low-many,2
Redwood Creek,SE_W-under5-Low-many,2
