"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","aspect","time_since","burnsev","count_v2","prop_area","area_ha","strata_nm","grove_name","grovearea_ha","unit_name","grove","Ease.of.Access","geometry"
"1","Site-27","Over","Next",-118.693434868469,36.4576776429461,"None",173582.802656639,0.00000576093936,"None","NW_E","under5","Low","many",0.06,243.015923719295,"NW_E-under5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(116942.061000713, -172452.651757831)
"2","Site-13","Base","None",-118.680451321853,36.4646961688751,"None",121093.480591319,0.000008258082889,"None","NW_E","under5","Unburned","none",0.06,290.624353419165,"NW_E-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(118093.202687296, -171656.641390872)
"3","Site-04","Base","None",-118.674896385614,36.4609554605989,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(118596.120356558, -172065.384439279)
"4","Site-07","Base","None",-118.684877862669,36.4705025866608,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117688.123491951, -171016.919970871)
"5","Site-08","Base","None",-118.686690449462,36.46344643491,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117536.790681184, -171803.268322177)
"6","Site-11","Over","Next",-118.676341729231,36.4751245084533,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(118444.78754579, -170492.687736668)
"7","Site-12","Over","Next",-118.66883517408,36.4691428855034,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(119125.785194245, -171147.978029422)
"8","Site-15","Over","Next",-118.677248513851,36.4715965112906,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(118369.121140406, -170885.86191232)
"9","Site-16","Over","Next",-118.665535947227,36.4643879285577,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(119428.45081578, -171672.210263626)
"10","Site-19","Over","Next",-118.679723676236,36.4751624815205,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(118142.121924255, -170492.687736668)
"11","Site-20","Over","Next",-118.662195809209,36.46199120989,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(119731.116437315, -171934.326380728)
"12","Site-22","Over","Next",-118.697579546699,36.4694643940072,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(116553.127411194, -171147.978029422)
"13","Site-23","Over","Next",-118.673784784968,36.4762751296725,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(118671.786761942, -170361.629678117)
"14","Site-27","Over","Next",-118.682321201865,36.4716533954854,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117915.122708103, -170885.86191232)
"15","Site-28","Over","Next",-118.687474992861,36.466993380038,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117461.1242758, -171410.094146524)
"16","Site-31","Over","Next",-118.68137391296,36.4775397631299,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117990.789113487, -170230.571619566)
"17","Site-32","Over","Next",-118.656133153498,36.4701779772128,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(120260.781275002, -171016.919970871)
"18","Site-34","Over","Next",-118.693412962549,36.465880037054,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(116931.459438113, -171541.152205075)
"19","Site-35","Over","Next",-118.675639446045,36.4668608281629,"None",793340.26761714,0.000001260493184,"None","SE_W","over5","Low","many",0.11,714.006240855426,"SE_W-over5-Low-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(118520.453951174, -171410.094146524)
"20","Site-16","Over","Next",-118.691925403767,36.4545229710655,"None",85811.0000735228,0.000011653517604,"None","SE_W","under5","Moderate","many",0.03,94.3921000808751,"SE_W-under5-Moderate-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117081.991618809, -172801.343696905)
"21","Site-36","Over","Next",-118.687722191871,36.4564156195,"None",85811.0000735228,0.000011653517604,"None","SE_W","under5","Moderate","many",0.03,94.3921000808751,"SE_W-under5-Moderate-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117455.273792066, -172585.829133692)
"22","Site-44","Over","Next",-118.686338867577,36.4560123022017,"None",85811.0000735228,0.000011653517604,"None","SE_W","under5","Moderate","many",0.03,94.3921000808751,"SE_W-under5-Moderate-many","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117579.701183151, -172628.932046334)
"23","Site-003","Base","None",-118.686370342778,36.4663265326459,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117561.002626704, -171482.826975087)
"24","Site-019","Base","None",-118.697332038512,36.4674694625212,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(116578.321547468, -171369.356737962)
"25","Site-035","Base","None",-118.689333157685,36.4643173078272,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117298.954338908, -171709.767449337)
"26","Site-051","Over","Next",-118.685655979188,36.465297434481,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117626.514698653, -171596.297212212)
"27","Site-062","Over","Next",-118.694081915546,36.4648806457057,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(116873.125871239, -171653.032330774)
"28","Site-075","Over","Next",-118.699170616908,36.4669792317071,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(116414.541367595, -171426.091856525)
"29","Site-087","Over","Next",-118.687154951274,36.4632719106465,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117495.490554755, -171823.237686462)
"30","Site-099","Over","Next",-118.685691130213,36.4632555763258,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117626.514698653, -171823.237686462)
"31","Site-111","Over","Next",-118.686352775876,36.4673474607206,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117561.002626704, -171369.356737962)
"32","Site-123","Over","Next",-118.699188012329,36.4659583015703,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(116414.541367595, -171539.56209365)
"33","Site-135","Over","Next",-118.686440605688,36.4622428159121,"None",148673.40472796,0.000006726152548,"None","SE_W","under5","Unburned","none",0.13,698.765002221413,"SE_W-under5-Unburned-none","Atwell",645.352358451402,"Sequoia and Kings Canyon National Parks","Atwell","Easy",c(117561.002626704, -171936.707923587)
