"","aspect","time_since","burnsev","count_v2","prop_area_seki","area_ha","strata_nm","existing_plots","total.plots.needed","useful.plots","NEW.plots.needed","area_ha_strata"
"1","NW_E","under5","High","many",0.01,40.1,"NW_E-under5-High-many",4,6,4,2,40.1276073630777
"2","NW_E","under5","High","one",0.01,36.5,"NW_E-under5-High-one",3,6,3,3,22.2203443362636
"3","NW_E","under5","Low","many",0.06,303.1,"NW_E-under5-Low-many",17,31,17,14,243.015923719288
"4","NW_E","under5","Low","one",0.07,416.4,"NW_E-under5-Low-one",8,36,8,28,388.344499574405
"5","NW_E","under5","Moderate","many",0.02,66.4,"NW_E-under5-Moderate-many",4,11,4,7,35.1875665146444
"6","NW_E","under5","Moderate","one",0.01,16.6,"NW_E-under5-Moderate-one",1,6,1,5,14.0493246980095
"7","NW_E","under5","Unburned","none",0.06,290.6,"NW_E-under5-Unburned-none",7,31,7,24,290.624353419158
"8","SE_W","over5","Low","many",0.11,714,"SE_W-over5-Low-many",47,56,47,9,714.006240855438
"9","SE_W","under5","High","one",0.05,310.3,"SE_W-under5-High-one",22,26,22,4,221.115608719036
"10","SE_W","under5","Low","many",0.11,676.9,"SE_W-under5-Low-many",22,56,22,34,668.995796008479
"11","SE_W","under5","Low","one",0.12,690.6,"SE_W-under5-Low-one",12,61,12,49,641.767818932978
"12","SE_W","under5","Moderate","many",0.03,104.8,"SE_W-under5-Moderate-many",5,16,5,11,94.3921000808759
"13","SE_W","under5","Moderate","one",0.04,87.4,"SE_W-under5-Moderate-one",1,21,1,20,59.6014578426277
"14","SE_W","under5","Unburned","none",0.12,695.1,"SE_W-under5-Unburned-none",19,61,19,42,695.061435889224
