"","aspect","time_since","burnsev","count_v2","prop_area_seki","area_ha","strata_nm","existing_plots","total.plots.needed","useful.plots","NEW.plots.needed","area_ha_strata"
"1","NW_E","under5","High","many",0.01,40.1,"NW_E-under5-High-many",4,5,4,1,40.1276073630777
"2","NW_E","under5","High","one",0.01,36.5,"NW_E-under5-High-one",3,5,3,2,22.2203443362636
"3","NW_E","under5","Low","many",0.06,303.1,"NW_E-under5-Low-many",17,28,17,11,243.015923719288
"4","NW_E","under5","Low","one",0.07,416.4,"NW_E-under5-Low-one",8,33,8,25,388.344499574405
"5","NW_E","under5","Moderate","many",0.02,66.4,"NW_E-under5-Moderate-many",4,10,4,6,35.1875665146444
"6","NW_E","under5","Moderate","one",0.01,16.6,"NW_E-under5-Moderate-one",1,5,1,4,14.0493246980095
"7","NW_E","under5","Unburned","none",0.06,290.6,"NW_E-under5-Unburned-none",7,28,7,21,290.624353419158
"8","SE_W","over5","Low","many",0.11,714,"SE_W-over5-Low-many",47,51,47,4,714.006240855438
"9","SE_W","under5","High","one",0.05,310.3,"SE_W-under5-High-one",22,24,22,2,221.115608719036
"10","SE_W","under5","Low","many",0.11,676.9,"SE_W-under5-Low-many",22,51,22,29,668.995796008479
"11","SE_W","under5","Low","one",0.12,690.6,"SE_W-under5-Low-one",12,56,12,44,641.767818932978
"12","SE_W","under5","Moderate","many",0.03,104.8,"SE_W-under5-Moderate-many",5,14,5,9,94.3921000808759
"13","SE_W","under5","Moderate","one",0.04,87.4,"SE_W-under5-Moderate-one",1,19,1,18,59.6014578426277
"14","SE_W","under5","Unburned","none",0.12,695.1,"SE_W-under5-Unburned-none",19,56,19,37,695.061435889224
